Time (s),Reference Distance (mm),IR Sensor (V),Capacitive Sensor (V),Eddy Current Sensor (V),LED Sensor (V),Linear Potentiometer (V)
0.05,0,0.8564,8.4984,10.1338,7.1043,6.2284
0.1,0.01,0.8567,8.4592,10.1337,7.0946,6.2358
0.15,0,0.8606,8.4508,10.1313,7.1123,6.2144
0.2,0,0.8625,8.493,10.1296,7.1025,6.2278
0.25,0,0.8723,8.5203,10.1383,7.0932,6.2181
0.3,0.01,0.9322,8.4532,10.1481,7.0996,6.189
0.35,0,0.9465,8.4905,10.1421,7.1057,6.2106
0.4,0,1.0104,8.4887,10.1533,7.0922,6.1907
0.45,0,1.1165,8.4982,10.1609,7.1136,6.1812
0.5,0.12,1.1368,8.4573,10.161,7.1145,6.1611
0.55,0.21,1.1344,8.4504,10.1806,7.1248,6.1725
0.6,0.24,1.1386,8.4678,10.1821,7.0992,6.1619
0.65,0.28,1.1387,8.448,10.1861,7.1239,6.1341
0.7,0.29,1.1569,8.4683,10.1966,7.0972,6.1193
0.75,0.32,1.1528,8.5097,10.2066,7.1097,6.1197
0.8,0.34,1.155,8.4886,10.2075,7.114,6.1176
0.85,0.37,1.1401,8.4787,10.2071,7.1058,6.113
0.9,0.39,1.1296,8.457,10.212,7.1094,6.0995
0.95,0.42,1.1252,8.5006,10.2248,7.111,6.0916
1,0.43,1.1487,8.5363,10.2363,7.1135,6.0747
1.05,0.48,1.1567,8.4281,10.2522,7.1088,6.0708
1.1,0.5,1.17,8.4664,10.2312,7.1007,6.0598
1.15,0.53,1.1795,8.4224,10.2515,7.1074,6.0781
1.2,0.55,1.2017,8.4409,10.265,7.1177,6.043
1.25,0.58,1.2221,8.4973,10.2498,7.1037,6.0339
1.3,0.61,1.2319,8.4675,10.2531,7.0899,6.025
1.35,0.63,1.2964,8.4761,10.2664,7.1044,6.0034
1.4,0.66,1.324,8.4497,10.2682,7.0962,5.9926
1.45,0.68,1.3316,8.4925,10.2498,7.1022,6.0017
1.5,0.71,1.3243,8.4639,10.2845,7.1091,5.9887
1.55,0.75,1.2954,8.4702,10.2765,7.1091,5.9732
1.6,0.77,1.2895,8.454,10.2659,7.0817,5.978
1.65,0.8,1.2527,8.5048,10.2774,7.0943,5.9497
1.7,0.83,1.2395,8.4712,10.2889,7.0924,5.9451
1.75,0.83,1.2414,8.4869,10.2987,7.0959,5.9629
1.8,0.83,1.2387,8.4668,10.2744,7.0935,5.968
1.85,0.83,1.2391,8.4811,10.2715,7.0904,5.9573
1.9,0.83,1.2443,8.4514,10.3083,7.113,5.9547
1.95,0.83,1.2374,8.4328,10.2793,7.098,5.9525
2,0.83,1.2369,8.4474,10.2809,7.0904,5.9517
2.05,0.83,1.2336,8.4347,10.2805,7.112,5.9453
2.1,0.83,1.2391,8.4854,10.2835,7.0894,5.9719
2.15,0.83,1.2345,8.4524,10.2916,7.0887,5.9682
2.2,0.83,1.2386,8.4687,10.2873,7.0945,5.9404
2.25,0.83,1.2372,8.5039,10.2861,7.089,5.9503
2.3,0.83,1.2395,8.4691,10.2744,7.0891,5.9423
2.35,0.83,1.2295,8.4719,10.2958,7.1025,5.963
2.4,0.83,1.2342,8.504,10.2832,7.0976,5.9533
2.45,0.83,1.2387,8.476,10.3096,7.0996,5.9675
2.5,0.83,1.2382,8.4801,10.2848,7.1082,5.9622
2.55,0.83,1.2378,8.4783,10.2867,7.1047,5.954
2.6,0.83,1.2448,8.4949,10.2908,7.1052,5.9703
2.65,0.83,1.2372,8.4719,10.2857,7.1076,5.9596
2.7,0.83,1.2423,8.5127,10.2629,7.0917,5.9538
2.75,0.83,1.2369,8.5216,10.2716,7.0927,5.9504
2.8,0.83,1.2415,8.4715,10.3084,7.1028,5.9412
2.85,0.84,1.2445,8.4938,10.2905,7.1043,5.9519
2.9,0.83,1.2467,8.4464,10.3018,7.0947,5.9422
2.95,0.83,1.2425,8.4788,10.2794,7.0999,5.9535
3,0.83,1.2406,8.4928,10.2717,7.0971,5.974
3.05,0.83,1.239,8.4953,10.2901,7.0989,5.9526
3.1,0.82,1.2395,8.4879,10.2911,7.0936,5.9693
3.15,0.83,1.2367,8.4332,10.2828,7.0914,5.9712
3.2,0.83,1.2431,8.4904,10.2943,7.0982,5.9512
3.25,0.83,1.2405,8.4372,10.2875,7.091,5.9583
3.3,0.82,1.2404,8.4752,10.2904,7.0861,5.9522
3.35,0.83,1.2392,8.5049,10.2954,7.105,5.9591
3.4,0.83,1.2455,8.4585,10.289,7.1021,5.9591
3.45,0.82,1.2435,8.5052,10.2857,7.0979,5.9514
3.5,0.83,1.2444,8.4648,10.2717,7.1073,5.9433
3.54999999999999,0.83,1.244,8.429,10.2853,7.081,5.9636
3.6,0.84,1.251,8.4485,10.2786,7.0874,5.9551
3.64999999999999,0.83,1.2424,8.4862,10.2748,7.1024,5.9494
3.69999999999999,0.83,1.2481,8.4932,10.2633,7.1031,5.9559
3.75,0.83,1.2468,8.4609,10.2788,7.1193,5.9479
3.79999999999999,0.83,1.2437,8.4993,10.2864,7.0984,5.9646
3.84999999999999,0.83,1.251,8.4721,10.2787,7.1028,5.9603
3.89999999999999,0.83,1.2424,8.4468,10.2838,7.1159,5.9522
3.94999999999999,0.83,1.2436,8.5363,10.2891,7.1031,5.9496
4,0.83,1.2468,8.4699,10.302,7.0808,5.9547
4.04999999999999,0.83,1.2449,8.5252,10.2955,7.1133,5.9642
4.09999999999999,0.83,1.2435,8.4446,10.2772,7.1084,5.9716
4.14999999999999,0.83,1.2466,8.4815,10.2962,7.0957,5.9581
4.19999999999999,0.83,1.2442,8.4804,10.2837,7.0994,5.9568
4.24999999999999,0.83,1.2421,8.5022,10.3064,7.0972,5.9552
4.29999999999999,0.83,1.2442,8.5159,10.2847,7.1106,5.9645
4.34999999999999,0.83,1.2401,8.4857,10.2898,7.1067,5.9518
4.39999999999999,0.83,1.2446,8.4581,10.2956,7.107,5.9486
4.44999999999999,0.83,1.2428,8.4806,10.3096,7.1011,5.9493
4.49999999999999,0.83,1.2451,8.5084,10.308,7.1011,5.9442
4.54999999999999,0.83,1.2458,8.4479,10.2725,7.1079,5.9554
4.59999999999999,0.83,1.2445,8.4911,10.2905,7.0983,5.9595
4.64999999999999,0.83,1.2427,8.441,10.2865,7.0929,5.9536
4.69999999999999,0.83,1.2428,8.488,10.2829,7.0966,5.9486
4.74999999999999,0.83,1.2454,8.4785,10.26,7.1142,5.9641
4.79999999999999,0.83,1.241,8.4773,10.2899,7.0984,5.9674
4.84999999999999,0.83,1.2465,8.4365,10.3059,7.0905,5.9429
4.89999999999999,0.83,1.2456,8.5366,10.293,7.104,5.9481
4.94999999999999,0.83,1.2454,8.5073,10.2764,7.1064,5.9562
4.99999999999999,0.83,1.2473,8.5206,10.2977,7.0897,5.9503
5.04999999999999,0.83,1.2488,8.5097,10.2968,7.109,5.9629
5.09999999999999,0.83,1.2479,8.4163,10.2931,7.119,5.9367
5.14999999999999,0.83,1.2379,8.4798,10.2946,7.103,5.9557
5.19999999999999,0.83,1.2468,8.484,10.2793,7.0913,5.9552
5.24999999999999,0.83,1.2395,8.4994,10.2815,7.1193,5.9472
5.29999999999999,0.83,1.2396,8.4766,10.2733,7.1,5.9578
5.34999999999999,0.83,1.2377,8.4751,10.2886,7.0959,5.9546
5.39999999999999,0.83,1.245,8.44,10.2968,7.0994,5.9579
5.44999999999999,0.83,1.2492,8.4959,10.288,7.1017,5.9653
5.49999999999999,0.83,1.2443,8.519,10.2639,7.111,5.9456
5.54999999999999,0.82,1.2445,8.4693,10.3008,7.0918,5.9439
5.59999999999999,0.83,1.2398,8.4731,10.2877,7.0961,5.9502
5.64999999999999,0.83,1.2374,8.4588,10.2911,7.1041,5.9495
5.69999999999999,0.83,1.2395,8.4803,10.2701,7.0967,5.9666
5.74999999999999,0.83,1.2425,8.4932,10.2904,7.1074,5.9351
5.79999999999999,0.83,1.2385,8.4238,10.2824,7.105,5.9502
5.84999999999999,0.83,1.2389,8.4569,10.2874,7.0947,5.9542
5.89999999999999,0.83,1.2379,8.4481,10.2769,7.1106,5.9401
5.94999999999999,0.83,1.2375,8.4692,10.2987,7.1047,5.9354
5.99999999999999,0.82,1.2378,8.5363,10.282,7.0835,5.9352
6.04999999999999,0.83,1.2322,8.5126,10.2889,7.1056,5.9536
6.09999999999999,0.84,1.2262,8.5007,10.2932,7.1172,5.962
6.14999999999999,0.83,1.2339,8.4576,10.2726,7.1139,5.9532
6.19999999999999,0.83,1.2294,8.4436,10.289,7.1156,5.9677
6.24999999999999,0.83,1.2287,8.4944,10.2984,7.1043,5.9613
6.29999999999999,0.83,1.2363,8.5056,10.2903,7.0999,5.9567
6.34999999999999,0.83,1.2327,8.458,10.2663,7.1121,5.9513
6.39999999999999,0.83,1.2312,8.4373,10.297,7.0938,5.9348
6.44999999999999,0.83,1.228,8.4655,10.2684,7.086,5.9501
6.49999999999999,0.83,1.2335,8.4982,10.2665,7.0984,5.9535
6.54999999999999,0.83,1.2378,8.4692,10.262,7.0932,5.9471
6.59999999999999,0.83,1.2367,8.4584,10.3045,7.107,5.9551
6.64999999999998,0.83,1.2344,8.4873,10.2791,7.1064,5.9558
6.69999999999998,0.84,1.2363,8.4413,10.2934,7.0983,5.9558
6.74999999999998,0.83,1.2292,8.4457,10.2833,7.0959,5.9497
6.79999999999998,0.84,1.2295,8.4232,10.2923,7.0989,5.9552
6.84999999999998,0.84,1.2262,8.515,10.274,7.1087,5.9253
6.89999999999998,0.85,1.2311,8.4224,10.2642,7.093,5.9421
6.94999999999998,0.86,1.2232,8.4648,10.2997,7.0988,5.9414
6.99999999999998,0.88,1.1995,8.4163,10.2973,7.082,5.9473
7.04999999999998,0.9,1.1785,8.44,10.297,7.0751,5.9328
7.09999999999998,0.92,1.1841,8.47,10.2998,7.102,5.8997
7.14999999999998,0.94,1.19,8.4818,10.2973,7.1057,5.9033
7.19999999999998,0.98,1.2137,8.4671,10.3077,7.1138,5.901
7.24999999999998,1.01,1.2585,8.4677,10.3054,7.0817,5.8951
7.29999999999998,1.04,1.281,8.4459,10.3166,7.091,5.8788
7.34999999999998,1.06,1.3508,8.4801,10.2951,7.0932,5.8571
7.39999999999998,1.09,1.3753,8.464,10.307,7.0861,5.8566
7.44999999999998,1.13,1.374,8.4689,10.3172,7.101,5.8412
7.49999999999998,1.16,1.3884,8.4247,10.3341,7.0759,5.8157
7.54999999999998,1.18,1.4,8.4643,10.3217,7.0997,5.8184
7.59999999999998,1.21,1.4,8.4713,10.334,7.0818,5.8005
7.64999999999998,1.24,1.4144,8.451,10.3042,7.0747,5.798
7.69999999999998,1.26,1.3744,8.4662,10.3205,7.0814,5.7886
7.74999999999998,1.3,1.3672,8.4985,10.3247,7.0794,5.7982
7.79999999999998,1.32,1.2626,8.4387,10.3211,7.0873,5.7569
7.84999999999998,1.34,1.2314,8.4988,10.3111,7.0816,5.7475
